date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
2023-03-06,20:30,Pro League,Matchweek 18,Mon,Home,L,1.0,2.0,Al-Fateh,64.0,,Abdullah Al-Mayouf,4-2-3-1,Artur Dias,Match Report,,11,3,,0,0,2023,Al Hilal
2023-03-10,20:30,Pro League,Matchweek 20,Fri,Away,W,4.0,0.0,Al-Taawoun,62.0,,Salman Al-Faraj,4-1-4-1,Khalid Saleh Al Turais,Match Report,,21,13,,0,0,2023,Al Hilal
2023-03-18,20:30,Pro League,Matchweek 21,Sat,Home,W,3.0,0.0,Al-Ettifaq,69.0,,Salman Al-Faraj,4-1-4-1,Daniele Orsato,Match Report,,16,7,,0,0,2023,Al Hilal
2023-04-01,22:00,Pro League,Matchweek 16,Sat,Home,W,2.0,0.0,Al-Khaleej,67.0,,Abdullah Al-Mayouf,4-1-4-1,João Pinheiro,Match Report,,14,5,,1,1,2023,Al Hilal
2023-04-04,22:00,Pro League,Matchweek 17,Tue,Away,W,2.0,0.0,Al-Fayha,59.0,,Abdullah Al-Mayouf,4-1-4-1,Abdullah Khaled Al Kharboush,Match Report,,13,4,,0,0,2023,Al Hilal
2023-04-07,22:00,Pro League,Matchweek 22,Fri,Away,L,0.0,3.0,Al-Shabab,58.0,,Abdullah Al-Mayouf,4-1-4-1,Majed Mohammed Al Shamrani,Match Report,,11,4,,0,0,2023,Al Hilal
2023-04-10,22:00,Pro League,Matchweek 23,Mon,Home,D,2.0,2.0,Al-Ta'ee,70.0,,Abdullah Al-Mayouf,4-1-4-1,Georgi Kabakov,Match Report,,25,9,,0,0,2023,Al Hilal
2023-04-14,22:00,Pro League,Matchweek 24,Fri,Away,L,0.0,1.0,Al-Batin,76.0,,Salman Al-Faraj,4-1-4-1,Faisal Suleiman Al Balawi,Match Report,,25,3,,0,0,2023,Al Hilal
2023-04-18,22:00,Pro League,Matchweek 25,Tue,Home,W,2.0,0.0,Al-Nassr,53.0,,Salman Al-Faraj,4-1-4-1,Michael Oliver,Match Report,,14,6,,2,2,2023,Al Hilal
2023-05-16,21:30,Pro League,Matchweek 27,Tue,Home,D,2.0,2.0,Al-Ittihad,68.0,,Abdullah Al-Mayouf,4-1-4-1,Fernando Rapallini,Match Report,,18,6,,0,0,2023,Al Hilal
2023-05-19,21:00,Pro League,Matchweek 26,Fri,Away,W,1.0,0.0,Damac,70.0,,Yasser Al-Shahrani,4-2-3-1,Abdullah Saleh Al Harbi,Match Report,,8,2,,0,0,2023,Al Hilal
2023-05-23,19:00,Pro League,Matchweek 28,Tue,Away,L,0.0,2.0,Al-Adalah,77.0,,Salem Al-Dawsari,4-1-4-1,Sami Ahmed Al Jurays,Match Report,,19,6,,0,0,2023,Al Hilal
2023-05-27,21:00,Pro League,Matchweek 29,Sat,Away,W,3.0,0.0,Abha,50.0,,Yasser Al-Shahrani,4-2-3-1,Mohammed Sami Al Ismail,Match Report,,13,6,,0,0,2023,Al Hilal
2023-05-31,21:00,Pro League,Matchweek 30,Wed,Home,W,3.0,2.0,Al-Raed,66.0,,Mohammed Jahfali,4-1-4-1,Raed Ali Al Zahrani,Match Report,,13,5,,1,1,2023,Al Hilal
2022-08-26,21:00,Pro League,Matchweek 1,Fri,Home,W,3.0,0.0,Al-Batin,81.0,6041.0,Nawaf Al Abed,4-5-1,Faisal Suleiman Al Balawi,Match Report,,19,7,,0,0,2023,Al Shabab
2022-09-01,21:00,Pro League,Matchweek 2,Thu,Away,W,4.0,0.0,Abha,53.0,6909.0,Cristian Guanca,4-2-3-1,Mohammed Saif Al Harbi,Match Report,,0,0,,1,1,2023,Al Shabab
2022-09-08,21:00,Pro League,Matchweek 3,Thu,Home,W,4.0,0.0,Al-Ta'ee,51.0,9379.0,Cristian Guanca,4-2-3-1,Sami Ahmed Al Jurays,Match Report,,0,0,,2,2,2023,Al Shabab
2022-09-14,21:00,Pro League,Matchweek 4,Wed,Away,W,1.0,0.0,Al-Adalah,63.0,7392.0,Cristian Guanca,4-2-3-1,Shukri Hussein Al Hunfush,Match Report,,0,0,,0,0,2023,Al Shabab
2022-10-02,18:20,Pro League,Matchweek 5,Sun,Away,W,2.0,1.0,Al-Fayha,66.0,4028.0,Éver Banega,4-2-3-1,Faisal Suleiman Al Balawi,Match Report,,0,0,,0,0,2023,Al Shabab
2022-10-06,21:00,Pro League,Matchweek 6,Thu,Home,W,1.0,0.0,Al-Raed,58.0,7458.0,Éver Banega,4-2-3-1,Mohammed Sami Al Ismail,Match Report,,13,1,,0,0,2023,Al Shabab
2022-10-10,20:30,Pro League,Matchweek 7,Mon,Away,D,1.0,1.0,Al-Hilal,47.0,,Éver Banega,4-2-3-1,Eber Aquino,Match Report,,8,3,,0,0,2023,Al Shabab
2022-10-15,20:45,Pro League,Matchweek 8,Sat,Home,W,4.0,0.0,Al-Khaleej,58.0,,Éver Banega,4-2-3-1,Majed Mohammed Al Shamrani,Match Report,,12,5,,0,1,2023,Al Shabab
2022-12-26,15:30,Pro League,Matchweek 10,Mon,Away,L,1.0,4.0,Al-Fateh,58.0,,Éver Banega,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,7,4,,0,0,2023,Al Shabab
2022-12-30,20:30,Pro League,Matchweek 11,Fri,Home,W,3.0,0.0,Al-Ettifaq,60.0,,Éver Banega,4-2-3-1,Mohammed Sami Al Ismail,Match Report,,23,6,,0,0,2023,Al Shabab
2023-01-05,20:30,Pro League,Matchweek 12,Thu,Away,L,1.0,2.0,Al-Wehda,56.0,,Éver Banega,4-2-3-1,Ahmed Mohammed Al Rumaikhani,Match Report,,13,5,,0,0,2023,Al Shabab
2023-01-09,21:15,Pro League,Matchweek 9,Mon,Home,D,1.0,1.0,Al-Ittihad,55.0,,Éver Banega,4-1-4-1,Szymon Marciniak,Match Report,,19,5,,1,1,2023,Al Shabab
2023-01-14,20:30,Pro League,Matchweek 13,Sat,Home,D,0.0,0.0,Al-Nassr,53.0,,Éver Banega,4-1-4-1,Clément Turpin,Match Report,,10,5,,0,0,2023,Al Shabab
2023-01-20,20:30,Pro League,Matchweek 14,Fri,Away,D,1.0,1.0,Al-Taawoun,56.0,,Éver Banega,4-1-4-1,Shukri Hussein Al Hunfush,Match Report,,10,2,,0,0,2023,Al Shabab
2023-01-27,18:00,Pro League,Matchweek 18,Fri,Away,W,2.0,1.0,Al-Ta'ee,51.0,,Éver Banega,4-1-4-1,Sultan Sanat Al Harbi,Match Report,,8,3,,0,0,2023,Al Shabab
2023-02-02,18:00,Pro League,Matchweek 15,Thu,Home,W,2.0,1.0,Damac,53.0,,Éver Banega,4-1-4-1,Faisal Suleiman Al Balawi,Match Report,,12,7,,0,0,2023,Al Shabab
2023-02-09,16:00,Pro League,Matchweek 16,Thu,Away,W,4.0,2.0,Al-Batin,70.0,,Iago Santos,4-1-4-1,Abdullah Zafer Al Shehri,Match Report,,20,4,,2,2,2023,Al Shabab
2023-02-14,18:00,Pro League,Matchweek 17,Tue,Home,W,2.0,0.0,Abha,45.0,,Éver Banega,4-1-4-1,Raed Ali Al Zahrani,Match Report,,15,6,,0,0,2023,Al Shabab
2023-03-04,20:30,Pro League,Matchweek 19,Sat,Home,L,1.0,2.0,Al-Adalah,57.0,,Cristian Guanca,4-2-3-1,Abdullah Saleh Al Harbi,Match Report,,20,7,,0,0,2023,Al Shabab
2023-03-09,20:30,Pro League,Matchweek 20,Thu,Home,W,3.0,2.0,Al-Fayha,46.0,,Cristian Guanca,4-1-4-1,Mohammed Saif Al Harbi,Match Report,,8,4,,0,0,2023,Al Shabab
2023-03-18,20:30,Pro League,Matchweek 21,Sat,Away,D,2.0,2.0,Al-Raed,71.0,,Cristian Guanca,4-2-3-1,Khalid Saleh Al Turais,Match Report,,25,6,,0,0,2023,Al Shabab
2023-04-07,22:00,Pro League,Matchweek 22,Fri,Home,W,3.0,0.0,Al-Hilal,42.0,,Éver Banega,4-1-4-1,Majed Mohammed Al Shamrani,Match Report,,13,8,,0,0,2023,Al Shabab
2023-04-11,22:00,Pro League,Matchweek 23,Tue,Away,W,3.0,2.0,Al-Khaleej,57.0,,Éver Banega,4-1-4-1,Sami Ahmed Al Jurays,Match Report,,9,4,,0,0,2023,Al Shabab
2023-04-27,21:30,Pro League,Matchweek 24,Thu,Away,L,1.0,2.0,Al-Ittihad,65.0,,Éver Banega,4-1-4-1,Srđan Jovanović,Match Report,,24,5,,1,2,2023,Al Shabab
2023-05-03,21:30,Pro League,Matchweek 25,Wed,Home,W,1.0,0.0,Al-Fateh,49.0,,Éver Banega,4-1-4-1,Andris Treimanis,Match Report,,18,8,,0,0,2023,Al Shabab
2023-05-14,19:00,Pro League,Matchweek 26,Sun,Away,L,0.0,1.0,Al-Ettifaq,72.0,,Éver Banega,4-1-4-1,Faisal Suleiman Al Balawi,Match Report,,24,2,,0,0,2023,Al Shabab
2023-05-18,19:00,Pro League,Matchweek 27,Thu,Home,L,0.0,1.0,Al-Wehda,65.0,,Éver Banega,4-1-4-1,Mamdouh Mufreh Al Shahdan,Match Report,,12,5,,0,0,2023,Al Shabab
2023-05-23,21:30,Pro League,Matchweek 28,Tue,Away,L,2.0,3.0,Al-Nassr,55.0,,Éver Banega,4-1-4-1,Daniele Orsato,Match Report,,9,3,,1,1,2023,Al Shabab
2023-05-27,21:00,Pro League,Matchweek 29,Sat,Home,L,0.0,3.0,Al-Taawoun,47.0,,Cristian Guanca,4-2-3-1,Sultan Sanat Al Harbi,Match Report,,10,1,,0,0,2023,Al Shabab
2023-05-31,21:00,Pro League,Matchweek 30,Wed,Away,W,4.0,1.0,Damac,52.0,,Éver Banega,4-2-3-1,Mohammed Saif Al Harbi,Match Report,,18,10,,0,0,2023,Al Shabab
2022-08-27,18:45,Pro League,Matchweek 1,Sat,Away,W,2.0,0.0,Al-Fateh,52.0,2929.0,Naldo,4-1-4-1,Khalid Saleh Al Turais,Match Report,,12,4,,0,0,2023,Al Taawoun
2022-09-03,19:00,Pro League,Matchweek 2,Sat,Home,W,1.0,0.0,Al-Nassr,42.0,7838.0,Naldo,4-1-4-1,Kevin Ortega,Match Report,,0,0,,0,0,2023,Al Taawoun
2022-09-10,18:45,Pro League,Matchweek 3,Sat,Away,D,1.0,1.0,Al-Fayha,61.0,3184.0,Naldo,4-1-4-1,Shukri Hussein Al Hunfush,Match Report,,0,0,,0,0,2023,Al Taawoun
2022-09-16,18:50,Pro League,Matchweek 4,Fri,Home,D,1.0,1.0,Damac,57.0,4532.0,Naldo,4-1-4-1,Mohammed Saif Al Harbi,Match Report,,0,0,,0,0,2023,Al Taawoun
2022-10-02,18:20,Pro League,Matchweek 5,Sun,Away,W,2.0,1.0,Al-Hilal,40.0,5062.0,Naldo,4-1-4-1,Anastasios Sidiropoulos,Match Report,,0,0,,0,0,2023,Al Taawoun
2022-10-06,18:30,Pro League,Matchweek 6,Thu,Home,W,2.0,0.0,Al-Wehda,54.0,4843.0,Hassan Kadesh,4-1-4-1,Mamdouh Mufreh Al Shahdan,Match Report,,9,2,,0,0,2023,Al Taawoun
2022-10-11,18:15,Pro League,Matchweek 7,Tue,Home,L,1.0,3.0,Abha,53.0,5076.0,Hassan Kadesh,4-1-4-1,Sultan Sanat Al Harbi,Match Report,,20,7,,0,0,2023,Al Taawoun
2022-10-16,20:30,Pro League,Matchweek 8,Sun,Away,W,1.0,0.0,Al-Ettifaq,48.0,,Naldo,4-1-4-1,Shukri Hussein Al Hunfush,Match Report,,11,5,,0,0,2023,Al Taawoun
2022-12-15,18:00,Pro League,Matchweek 9,Thu,Home,W,4.0,1.0,Al-Adalah,59.0,,Naldo,4-1-4-1,Mohammed Khaled Al Hoish,Match Report,,13,5,,0,0,2023,Al Taawoun
2022-12-26,18:00,Pro League,Matchweek 10,Mon,Away,L,0.0,3.0,Al-Ittihad,45.0,,Naldo,4-1-4-1,Sven Jablonski,Match Report,,7,1,,0,0,2023,Al Taawoun
2022-12-31,18:00,Pro League,Matchweek 11,Sat,Away,W,3.0,2.0,Al-Raed,56.0,,Naldo,4-1-4-1,Majed Mohammed Al Shamrani,Match Report,,15,9,,0,0,2023,Al Taawoun
2023-01-06,18:00,Pro League,Matchweek 12,Fri,Home,L,0.0,1.0,Al-Khaleej,66.0,,Naldo,4-2-2-2,Abdullah Khaled Al Kharboush,Match Report,,15,1,,0,1,2023,Al Taawoun
2023-01-12,15:30,Pro League,Matchweek 13,Thu,Away,W,3.0,1.0,Al-Ta'ee,55.0,,Naldo,4-2-3-1,Mamdouh Mufreh Al Shahdan,Match Report,,20,12,,0,0,2023,Al Taawoun
2023-01-20,20:30,Pro League,Matchweek 14,Fri,Home,D,1.0,1.0,Al-Shabab,44.0,,Naldo,4-1-4-1,Shukri Hussein Al Hunfush,Match Report,,14,4,,0,0,2023,Al Taawoun
2023-02-02,18:00,Pro League,Matchweek 15,Thu,Away,W,1.0,0.0,Al-Batin,64.0,,Naldo,4-2-3-1,Majed Mohammed Al Shamrani,Match Report,,17,10,,0,0,2023,Al Taawoun
2023-02-09,18:00,Pro League,Matchweek 16,Thu,Home,L,1.0,2.0,Al-Fateh,51.0,,Naldo,4-2-3-1,Khalid Saleh Al Turais,Match Report,,14,5,,1,1,2023,Al Taawoun
2023-02-17,18:00,Pro League,Matchweek 17,Fri,Away,L,1.0,2.0,Al-Nassr,53.0,,Naldo,4-2-3-1,Faisal Suleiman Al Balawi,Match Report,,7,2,,0,0,2023,Al Taawoun
2023-02-23,16:00,Pro League,Matchweek 18,Thu,Home,D,1.0,1.0,Al-Fayha,66.0,,Naldo,4-2-3-1,Majed Mohammed Al Shamrani,Match Report,,16,7,,0,0,2023,Al Taawoun
2023-03-04,16:00,Pro League,Matchweek 19,Sat,Away,W,2.0,1.0,Damac,47.0,,Naldo,4-2-3-1,Sultan Sanat Al Harbi,Match Report,,7,5,,0,0,2023,Al Taawoun
2023-03-10,20:30,Pro League,Matchweek 20,Fri,Home,L,0.0,4.0,Al-Hilal,38.0,,Naldo,4-2-3-1,Khalid Saleh Al Turais,Match Report,,13,2,,0,0,2023,Al Taawoun
2023-03-17,20:30,Pro League,Matchweek 21,Fri,Away,D,1.0,1.0,Al-Wehda,48.0,,Naldo,4-2-3-1,Sami Ahmed Al Jurays,Match Report,,12,3,,0,0,2023,Al Taawoun
2023-04-05,22:00,Pro League,Matchweek 22,Wed,Away,D,1.0,1.0,Abha,53.0,,Naldo,4-2-3-1,Raed Ali Al Zahrani,Match Report,,9,3,,0,0,2023,Al Taawoun
2023-04-09,22:00,Pro League,Matchweek 23,Sun,Home,D,1.0,1.0,Al-Ettifaq,65.0,,Hassan Kadesh,4-2-3-1,Khalid Saleh Al Turais,Match Report,,26,7,,0,0,2023,Al Taawoun
2023-04-27,19:00,Pro League,Matchweek 24,Thu,Away,L,1.0,2.0,Al-Adalah,52.0,,Naldo,3-5-2,Sultan Sanat Al Harbi,Match Report,,10,4,,0,1,2023,Al Taawoun
2023-05-03,19:00,Pro League,Matchweek 25,Wed,Home,W,2.0,1.0,Al-Ittihad,35.0,,Naldo,4-1-4-1,Bastian Dankert,Match Report,,8,4,,0,0,2023,Al Taawoun
2023-05-09,19:00,Pro League,Matchweek 26,Tue,Home,W,2.0,1.0,Al-Raed,52.0,,Naldo,4-1-4-1,Anastasios Sidiropoulos,Match Report,,16,5,,1,1,2023,Al Taawoun
2023-05-15,19:00,Pro League,Matchweek 27,Mon,Away,W,2.0,0.0,Al-Khaleej,62.0,,Hassan Kadesh,4-1-4-1,Abdullah Zafer Al Shehri,Match Report,,17,8,,0,1,2023,Al Taawoun
2023-05-22,21:30,Pro League,Matchweek 28,Mon,Home,W,2.0,1.0,Al-Ta'ee,54.0,,Naldo,4-1-4-1,Mohammed Abdulrahman Al Baridi,Match Report,,10,4,,0,0,2023,Al Taawoun
2023-05-27,21:00,Pro League,Matchweek 29,Sat,Away,W,3.0,0.0,Al-Shabab,53.0,,Naldo,4-1-4-1,Sultan Sanat Al Harbi,Match Report,,8,5,,0,0,2023,Al Taawoun
2023-05-31,21:00,Pro League,Matchweek 30,Wed,Home,W,3.0,1.0,Al-Batin,56.0,,Naldo,4-2-3-1,Turki Ali Hashlan,Match Report,,19,8,,1,1,2023,Al Taawoun
2022-08-27,18:45,Pro League,Matchweek 1,Sat,Home,L,0.0,2.0,Al-Taawoun,48.0,2929.0,Mohammed Al-Fuhaid,4-4-2,Khalid Saleh Al Turais,Match Report,,15,6,,0,0,2023,Al Fateh
2022-08-31,18:55,Pro League,Matchweek 2,Wed,Away,W,5.0,0.0,Al-Batin,73.0,3984.0,Mohammed Al-Fuhaid,4-2-3-1,Ahmed Alromkhani,Match Report,,0,0,,0,0,2023,Al Fateh
2022-09-04,18:35,Pro League,Matchweek 3,Sun,Home,L,0.0,1.0,Al-Hilal,38.0,15483.0,Mohammed Al-Fuhaid,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,0,0,,0,0,2023,Al Fateh
2022-09-14,18:55,Pro League,Matchweek 4,Wed,Away,L,0.0,1.0,Al-Ta'ee,58.0,7962.0,Marwane Saâdane,4-2-3-1,Abdullah Saleh Al Harbi,Match Report,,0,0,,0,1,2023,Al Fateh
2022-10-02,21:00,Pro League,Matchweek 5,Sun,Home,W,3.0,0.0,Abha,51.0,3705.0,Mohammed Al-Fuhaid,4-2-3-1,Sami Ahmed Al Jurays,Match Report,,0,0,,0,0,2023,Al Fateh
2022-10-07,21:00,Pro League,Matchweek 6,Fri,Away,L,1.0,3.0,Al-Ittihad,69.0,32374.0,Mohammed Al-Fuhaid,4-2-3-1,Georgi Kabakov,Match Report,,16,3,,0,0,2023,Al Fateh
2022-10-11,20:30,Pro League,Matchweek 7,Tue,Away,W,2.0,1.0,Al-Khaleej,55.0,,Tawfiq Bu Haymid,4-2-3-1,Ahmed Mohammed Al Rumaikhani,Match Report,,12,6,,0,1,2023,Al Fateh
2022-10-15,20:45,Pro League,Matchweek 8,Sat,Home,W,1.0,0.0,Al-Raed,50.0,,Marwane Saâdane,4-2-3-1,Mamdouh Mufreh Al Shahdan,Match Report,,7,2,,0,0,2023,Al Fateh
2022-12-26,15:30,Pro League,Matchweek 10,Mon,Home,W,4.0,1.0,Al-Shabab,42.0,,Marwane Saâdane,4-1-4-1,Mohammed Khaled Al Hoish,Match Report,,15,6,,2,2,2023,Al Fateh
2022-12-30,15:30,Pro League,Matchweek 11,Fri,Home,L,0.0,2.0,Al-Fayha,63.0,,Marwane Saâdane,4-2-3-1,Sultan Sanat Al Harbi,Match Report,,10,4,,0,0,2023,Al Fateh
2023-01-06,18:00,Pro League,Matchweek 12,Fri,Away,L,1.0,2.0,Al-Adalah,65.0,,Marwane Saâdane,4-2-3-1,Majed Mohammed Al Shamrani,Match Report,,11,3,,0,0,2023,Al Fateh
2023-01-12,15:30,Pro League,Matchweek 13,Thu,Home,W,2.0,0.0,Al-Ettifaq,57.0,,Marwane Saâdane,4-2-3-1,Faisal Suleiman Al Balawi,Match Report,,14,5,,1,1,2023,Al Fateh
2023-01-20,18:00,Pro League,Matchweek 14,Fri,Away,L,1.0,3.0,Damac,50.0,,Marwane Saâdane,5-4-1,Mohammed Sami Al Ismail,Match Report,,7,2,,0,0,2023,Al Fateh
2023-01-27,20:30,Pro League,Matchweek 9,Fri,Away,W,2.0,0.0,Al-Wehda,53.0,,Marwane Saâdane,4-1-4-1,Abdullah Saleh Al Harbi,Match Report,,9,3,,0,0,2023,Al Fateh
2023-02-03,18:00,Pro League,Matchweek 15,Fri,Home,D,2.0,2.0,Al-Nassr,42.0,17631.0,Mohammed Al-Fuhaid,4-2-3-1,Fernando Rapallini,Match Report,,6,4,,0,0,2023,Al Fateh
2023-02-09,18:00,Pro League,Matchweek 16,Thu,Away,W,2.0,1.0,Al-Taawoun,49.0,,Mohammed Al-Fuhaid,4-2-3-1,Khalid Saleh Al Turais,Match Report,,7,4,,0,0,2023,Al Fateh
2023-02-18,16:00,Pro League,Matchweek 17,Sat,Home,W,2.0,0.0,Al-Batin,64.0,,Marwane Saâdane,4-2-3-1,Mohammed Saif Al Harbi,Match Report,,11,2,,1,1,2023,Al Fateh
2023-03-02,16:00,Pro League,Matchweek 19,Thu,Home,L,2.0,3.0,Al-Ta'ee,54.0,,Mohammed Al-Fuhaid,4-2-3-1,Sultan Mohammed Al Akairi,Match Report,,11,4,,0,0,2023,Al Fateh
2023-03-06,20:30,Pro League,Matchweek 18,Mon,Away,W,2.0,1.0,Al-Hilal,36.0,,Marwane Saâdane,4-2-3-1,Artur Dias,Match Report,,11,5,,0,0,2023,Al Fateh
2023-03-10,16:00,Pro League,Matchweek 20,Fri,Away,D,2.0,2.0,Abha,53.0,,Mohammed Al-Fuhaid,4-2-3-1,Mohammed Abdulrahman Al Baridi,Match Report,,14,4,,2,3,2023,Al Fateh
2023-03-18,16:00,Pro League,Matchweek 21,Sat,Home,L,1.0,5.0,Al-Ittihad,67.0,,Mohammed Al-Fuhaid,4-2-3-1,Andrés Matonte,Match Report,,9,3,,0,0,2023,Al Fateh
2023-04-06,22:00,Pro League,Matchweek 22,Thu,Home,W,2.0,0.0,Al-Khaleej,61.0,,Marwane Saâdane,4-2-3-1,Abdulsamad Ali Bakri,Match Report,,11,5,,0,0,2023,Al Fateh
2023-04-10,22:00,Pro League,Matchweek 23,Mon,Away,W,3.0,0.0,Al-Raed,69.0,,Mohammed Al-Fuhaid,4-2-3-1,Sultan Sanat Al Harbi,Match Report,,14,7,,0,0,2023,Al Fateh
2023-04-28,19:00,Pro League,Matchweek 24,Fri,Home,D,1.0,1.0,Al-Wehda,46.0,,Mohammed Al-Fuhaid,4-2-3-1,Khalid Saleh Al Turais,Match Report,,18,4,,0,0,2023,Al Fateh
2023-05-03,21:30,Pro League,Matchweek 25,Wed,Away,L,0.0,1.0,Al-Shabab,51.0,,Mohammed Al-Fuhaid,4-2-3-1,Andris Treimanis,Match Report,,16,1,,0,0,2023,Al Fateh
2023-05-09,19:00,Pro League,Matchweek 26,Tue,Away,L,0.0,3.0,Al-Fayha,63.0,,Mohammed Al-Fuhaid,4-2-3-1,Sami Ahmed Al Jurays,Match Report,,5,1,,0,0,2023,Al Fateh
2023-05-15,21:30,Pro League,Matchweek 27,Mon,Home,L,2.0,4.0,Al-Adalah,68.0,,Mohammed Al-Fuhaid,4-2-3-1,Khalid Saleh Al Turais,Match Report,,17,6,,0,0,2023,Al Fateh
2023-05-22,19:00,Pro League,Matchweek 28,Mon,Away,W,4.0,0.0,Al-Ettifaq,61.0,,Marwane Saâdane,4-2-3-1,Raed Ali Al Zahrani,Match Report,,10,7,,1,1,2023,Al Fateh
2023-05-27,21:00,Pro League,Matchweek 29,Sat,Home,D,1.0,1.0,Damac,55.0,,Tawfiq Bu Haymid,4-2-3-1,Freeh Khalifa Al Jaloud,Match Report,,9,3,,0,0,2023,Al Fateh
2023-05-31,21:00,Pro League,Matchweek 30,Wed,Away,L,0.0,3.0,Al-Nassr,55.0,,Mohammed Al-Fuhaid,4-2-3-1,Artur Dias,Match Report,,11,2,,0,0,2023,Al Fateh
2022-08-26,18:45,Pro League,Matchweek 1,Fri,Home,L,1.0,2.0,Al-Ta'ee,53.0,3878.0,Mohammed Al-Kwikbi,4-2-3-1,Sami Ahmed Al Jurays,Match Report,,8,1,,0,0,2023,Al Ettifaq
2022-09-03,21:00,Pro League,Matchweek 2,Sat,Away,D,0.0,0.0,Al-Ittihad,38.0,33556.0,Ali Hazazi,4-2-3-1,Daniele Orsato,Match Report,,0,0,,0,0,2023,Al Ettifaq
2022-09-09,18:30,Pro League,Matchweek 3,Fri,Home,W,3.0,0.0,Al-Batin,72.0,2608.0,Saeed Al Mowalad,4-2-3-1,Mamdouh Mufreh Al Shahdan,Match Report,,0,0,,1,1,2023,Al Ettifaq
2022-09-15,21:00,Pro League,Matchweek 4,Thu,Home,L,1.0,2.0,Al-Raed,58.0,5731.0,Mohammed Al-Kwikbi,4-2-3-1,Abdullah Zafer Al Shehri,Match Report,,0,0,,0,0,2023,Al Ettifaq
2022-10-01,21:00,Pro League,Matchweek 5,Sat,Away,D,1.0,1.0,Al-Wehda,51.0,2237.0,Mohammed Al-Kwikbi,4-2-3-1,Ahmed Mohammed Al Rumaikhani,Match Report,,0,0,,0,0,2023,Al Ettifaq
2022-10-06,21:00,Pro League,Matchweek 6,Thu,Home,D,0.0,0.0,Al-Hilal,28.0,11321.0,Mohammed Al-Kwikbi,4-2-3-1,Sami Ahmed Al Jurays,Match Report,,5,0,,0,0,2023,Al Ettifaq
2022-10-11,20:30,Pro League,Matchweek 7,Tue,Away,W,3.0,0.0,Al-Fayha,38.0,,Mohammed Al-Kwikbi,4-2-3-1,Abdullah Saleh Al Harbi,Match Report,,11,5,,0,0,2023,Al Ettifaq
2022-10-16,20:30,Pro League,Matchweek 8,Sun,Home,L,0.0,1.0,Al-Taawoun,52.0,,Mohammed Al-Kwikbi,4-2-3-1,Shukri Hussein Al Hunfush,Match Report,,4,1,,0,0,2023,Al Ettifaq
2022-12-15,15:30,Pro League,Matchweek 9,Thu,Away,D,0.0,0.0,Damac,40.0,,Saeed Al Mowalad,5-3-2,Shukri Hussein Al Hunfush,Match Report,,7,2,,0,0,2023,Al Ettifaq
2022-12-25,20:30,Pro League,Matchweek 10,Sun,Home,W,1.0,0.0,Al-Khaleej,55.0,,Mohammed Al-Kwikbi,4-1-4-1,Khalid Saleh Al Turais,Match Report,,13,4,,0,0,2023,Al Ettifaq
2022-12-30,20:30,Pro League,Matchweek 11,Fri,Away,L,0.0,3.0,Al-Shabab,40.0,,Mohammed Al-Kwikbi,4-2-3-1,Mohammed Sami Al Ismail,Match Report,,2,0,,0,0,2023,Al Ettifaq
2023-01-07,18:00,Pro League,Matchweek 12,Sat,Home,W,2.0,1.0,Abha,47.0,,Mohammed Al-Kwikbi,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,14,7,,0,0,2023,Al Ettifaq
2023-01-12,15:30,Pro League,Matchweek 13,Thu,Away,L,0.0,2.0,Al-Fateh,43.0,,Mohammed Al-Kwikbi,5-4-1,Faisal Suleiman Al Balawi,Match Report,,8,2,,0,0,2023,Al Ettifaq
2023-01-22,20:30,Pro League,Matchweek 14,Sun,Away,L,0.0,1.0,Al-Nassr,33.0,,Mohammed Al-Kwikbi,4-2-3-1,Khalid Saleh Al Turais,Match Report,,8,2,,0,0,2023,Al Ettifaq
2023-02-03,20:30,Pro League,Matchweek 15,Fri,Home,W,3.0,2.0,Al-Adalah,56.0,,Mohammed Al-Kwikbi,4-2-3-1,Mamdouh Mufreh Al Shahdan,Match Report,,13,6,,1,1,2023,Al Ettifaq
2023-02-10,16:00,Pro League,Matchweek 16,Fri,Away,L,0.0,2.0,Al-Ta'ee,47.0,,Mohammed Al-Kwikbi,4-2-3-1,Abdulsamad Ali Bakri,Match Report,,9,1,,0,0,2023,Al Ettifaq
2023-02-16,20:30,Pro League,Matchweek 17,Thu,Home,L,0.0,3.0,Al-Ittihad,48.0,,Mohammed Al-Kwikbi,4-1-4-1,Artur Dias,Match Report,,14,4,,0,0,2023,Al Ettifaq
2023-02-25,16:00,Pro League,Matchweek 18,Sat,Away,L,0.0,1.0,Al-Batin,48.0,,Ali Hazazi,4-1-4-1,Ahmed Mohammed Al Rumaikhani,Match Report,,7,2,,0,0,2023,Al Ettifaq
2023-03-03,16:00,Pro League,Matchweek 19,Fri,Away,W,2.0,1.0,Al-Raed,54.0,,Mohammed Al-Kwikbi,4-2-3-1,Abdullah Khaled Al Kharboush,Match Report,,10,2,,0,0,2023,Al Ettifaq
